filename,category
siren__esc50__fold_4__102871__0000__r0.wav,siren
siren__esc50__fold_4__111671__0001__r0.wav,siren
siren__esc50__fold_4__111671__0002__r0.wav,siren
siren__esc50__fold_4__121532__0003__r0.wav,siren
siren__esc50__fold_4__67358__0004__r0.wav,siren
siren__esc50__fold_4__80761__0005__r0.wav,siren
siren__esc50__fold_4__90014__0006__r0.wav,siren
siren__esc50__fold_4__90014__0007__r0.wav,siren
siren__fsd50k__dev__181601__0008__r0.wav,siren
siren__fsd50k__dev__268221__0009__r0.wav,siren
siren__fsd50k__dev__320767__0010__r0.wav,siren
siren__fsd50k__dev__324275__0011__r0.wav,siren
siren__fsd50k__dev__34733__0012__r0.wav,siren
siren__fsd50k__dev__34952__0013__r0.wav,siren
siren__fsd50k__dev__353265__0014__r0.wav,siren
siren__fsd50k__dev__353956__0015__r0.wav,siren
siren__fsd50k__dev__382620__0016__r0.wav,siren
siren__fsd50k__dev__388972__0017__r0.wav,siren
siren__fsd50k__dev__421017__0018__r0.wav,siren
siren__fsd50k__dev__62878__0019__r0.wav,siren
chainsaw__esc50__fold_4__149294__0000__r0.wav,chainsaw
chainsaw__esc50__fold_4__149294__0001__r0.wav,chainsaw
chainsaw__esc50__fold_4__157611__0002__r0.wav,chainsaw
chainsaw__esc50__fold_4__157611__0003__r0.wav,chainsaw
chainsaw__esc50__fold_4__165823__0004__r0.wav,chainsaw
chainsaw__esc50__fold_4__165823__0005__r0.wav,chainsaw
chainsaw__esc50__fold_4__169127__0006__r0.wav,chainsaw
chainsaw__esc50__fold_4__169127__0007__r0.wav,chainsaw
gunshot_gunfire__fsd50k__dev__100465__0000__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__115295__0001__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128979__0002__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__128981__0003__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__137034__0004__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__138679__0005__r0.wav,gunshot_gunfire
gunshot_gunfire__fsd50k__dev__146323__0006__r0.wav,gunshot_gunfire
